dates,monthly_GDP,monthly_GDPDEF,CPRINDEX,TRARR,BOGNONBR,FEDFUNDS,IP,CPIAUCSL
1977-10-01,6016.74427490682,35.7812435685191,149.968995238095,18.963,17.658,6.47,49.9859,61.6
1977-11-01,6011.28693728478,36.0706972594027,149.894166666667,19.012,18.15,6.51,50.0357,62
1977-12-01,6026.56878780847,36.2560591720783,142.429385714286,18.99,18.42,6.56,50.1135,62.3
1978-01-01,5973.43142099698,36.4209014141656,141.97,19.29,18.806,6.7,49.4201,62.7
1978-02-01,6015.97988038539,36.5492358865726,142.598121052632,19.561,19.155,6.78,49.6618,63
1978-03-01,6128.18869861771,36.7488626992619,146.605418181818,19.286,18.958,6.79,50.6053,63.4
1978-04-01,6244.60609066871,36.991512955339,147.51714,19.408,18.851,6.89,51.6639,63.9
1978-05-01,6266.46007392612,37.2669900272345,146.975277272727,19.655,18.443,7.36,51.8472,64.5
1978-06-01,6310.93383540521,37.4674970174268,146.935409090909,19.868,18.774,7.6,52.2056,65
1978-07-01,6316.03371391597,37.6428941563523,144.43296,20.118,18.801,7.81,52.1834,65.5
1978-08-01,6339.7098236289,37.8300630055911,148.188530434783,19.912,18.772,8.04,52.3807,65.9
1978-09-01,6350.15646245519,38.1220428380568,154.9899,19.994,18.934,8.45,52.5124,66.5
1978-10-01,6387.52378980157,38.4675827815525,157.837236363636,20.109,18.832,8.96,52.9384,67.1
1978-11-01,6423.58158236046,38.675108827457,161.017425,19.872,19.169,9.76,53.3363,67.5
1978-12-01,6449.79462783805,38.8403083909907,157.53476,19.753,18.885,10.03,53.6296,67.9
1979-01-01,6406.52207858056,39.0588654278963,154.548,19.821,18.818,10.07,53.2837,68.5
1979-02-01,6436.32939776351,39.3458209236825,155.505647368421,19.396,18.423,10.06,53.5675,69.2
1979-03-01,6456.14852365602,39.6513136484215,155.185368181818,19.429,18.439,10.09,53.7364,69.9
1979-04-01,6395.32835301531,39.9632280350672,155.873635,19.504,18.587,10.01,53.1571,70.6
1979-05-01,6452.75689430117,40.3122799262543,159.6946,19.553,17.788,10.24,53.5566,71.4
1979-06-01,6474.31475268359,40.6364920386788,170.023604761905,19.808,18.39,10.29,53.5534,72.2
1979-07-01,6497.1872234022,40.9197064272874,167.405976190476,19.992,18.822,10.47,53.4808,73
1979-08-01,6475.5625816906,41.1680742847024,162.947982608696,20.008,18.923,10.94,53.1195,73.7
1979-09-01,6488.55019490728,41.4072192880103,166.317284210526,20.007,18.667,11.43,53.1786,74.4
1979-10-01,6514.24024621482,41.7193097649616,166.753526086957,20.375,18.353,13.77,53.4617,75.2
1979-11-01,6500.82856218711,41.9828670618491,166.563561904762,20.398,18.492,13.18,53.409,76
1979-12-01,6496.63119159812,42.2558231731896,170.715652631579,20.72,19.248,13.78,53.4536,76.9
1980-01-01,6514.09734862554,42.5597561783316,173.760045454545,20.693,19.452,13.82,53.7071,78
1980-02-01,6525.52812983704,42.8342356698503,183.014195,20.682,19.027,14.13,53.7262,79
1980-03-01,6535.07452153747,43.1830081518186,172.279761904762,20.703,17.879,17.19,53.5481,80.1
1980-04-01,6462.89571604878,43.4187353985378,169.338976190476,20.629,18.174,17.61,52.4571,80.9
1980-05-01,6369.55098017502,43.7696738848998,176.906757142857,20.44,19.421,10.98,51.1904,81.7
1980-06-01,6345.35330377629,44.2115907165627,173.749671428571,20.575,20.196,9.47,50.5575,82.5
1980-07-01,6346.53107330926,44.407588130492,175.301336363636,20.796,20.401,9.03,50.166,82.6
1980-08-01,6372.59043602675,44.8006948170563,181.667638095238,21.011,20.352,9.61,50.353,83.2
1980-09-01,6429.57849066407,45.215717052452,186.934742857143,21.232,19.921,10.87,51.1727,83.9
1980-10-01,6426.88239900779,45.6163165705294,194.49562173913,21.147,19.837,12.81,51.8129,84.7
1980-11-01,6506.27565480554,46.0606288218028,192.629222222222,22.15,20.091,15.85,52.7175,85.6
1980-12-01,6570.44194618675,46.4610546076682,178.619,22.015,20.325,18.9,53.0142,86.4
1981-01-01,6620.3772987316,46.8311102308978,177.69320952381,21.673,20.278,19.08,52.7119,87.2
1981-02-01,6630.91753502236,47.2252494057731,173.002047368421,21.84,20.536,15.93,52.4633,88
1981-03-01,6655.80516624611,47.5316403633295,170.983154545455,22.072,21.072,14.7,52.7501,88.6
1981-04-01,6578.01261389523,47.812267914078,167.486633333333,22.187,20.849,15.72,52.5233,89.1
1981-05-01,6581.52852704548,48.0816055946905,159.977605,22.442,20.219,18.52,52.8211,89.7
1981-06-01,6602.35885905932,48.349126491232,155.202427272727,22.326,20.289,19.1,53.0699,90.5
1981-07-01,6655.53009635183,48.6350167603756,156.58605,22.329,20.65,19.04,53.4044,91.5
1981-08-01,6673.46574036766,48.8864899201909,150.961814285714,22.356,20.936,17.82,53.3959,92.2
1981-09-01,6659.70416328056,49.3164933194338,142.894419047619,22.487,21.031,15.87,53.0761,93.1
1981-10-01,6642.38311187694,49.5705720632458,145.168381818182,22.296,21.115,15.08,52.6972,93.4
1981-11-01,6588.4356159676,49.8783395882453,146.367335,22.338,21.675,13.31,52.0996,93.8
1981-12-01,6524.48127215552,50.1400883485094,146.707236363636,22.443,21.807,12.37,51.5219,94.1
1982-01-01,6397.99749360848,50.3976155526046,148.45545,22.669,21.152,13.22,50.4933,94.4
1982-02-01,6519.5067552356,50.6269775049606,150.142405263158,22.551,20.762,14.78,51.4979,94.7
1982-03-01,6507.49575115598,50.6584069424352,145.369447826087,22.452,20.898,14.68,51.1159,94.7
1982-04-01,6508.66949996749,50.7627992991719,147.649542857143,22.337,20.769,14.94,50.6623,95
1982-05-01,6509.72502375973,51.1502174532185,146.702205,22.402,21.285,14.45,50.3505,95.9
1982-06-01,6512.20547627284,51.5969832476099,142.439522727273,22.368,21.164,14.15,50.1943,97
