dates,dYsim_10,dYsim_25,dYsim_75,dYsim_90,data,dYsim_10_cf1,dYsim_25_cf1,dYsim_75_cf1,dYsim_90_cf1,dYsim_10_cf2,dYsim_25_cf2,dYsim_75_cf2,dYsim_90_cf2
01-Sep-2004,1.5987097401718,2.27020539023321,3.74288682519403,4.46752783500013,3.71360443895624,1.73462243978748,2.22974516934888,3.32697397309951,3.78607481422106,1.16585774261303,1.9907823798889,3.62437596548419,4.41775823348607
01-Oct-2004,1.81531189579987,2.54599819090557,3.99767058897839,4.63563847697,3.48397202683343,1.95392444923567,2.48883281030259,3.53546396317434,3.98473987558492,1.68690945719956,2.46870907832984,3.9845842071482,4.66731061426891
01-Nov-2004,1.66649380015338,2.36708019876452,3.8040682943284,4.46366762733299,3.38352871350044,1.79330974030466,2.29160495196013,3.40670263435082,3.8881015681674,1.29004885527931,2.09694552473304,3.67980125353626,4.40953515930447
01-Dec-2004,2.12639007214524,2.79448043408976,4.16978760953799,4.82323481209985,3.34719094592472,2.07809166243173,2.60059085913433,3.71457654074815,4.13528108219653,1.72397853818593,2.52842897544877,4.07927249405843,4.73627714819961
01-Jan-2005,2.09304563176305,2.75307130757156,4.10732716895129,4.74661195702696,3.11217444362984,2.01753368888384,2.50862219749124,3.55379351602839,3.98817028851932,1.73566427801498,2.44526081223008,4.0309866616394,4.7416635087357
01-Feb-2005,2.33275297662448,2.93143217210605,4.2808850661133,4.92475195894652,3.07761179451348,2.19290752644414,2.72355778699677,3.76764982685342,4.23947484892181,1.8393479881547,2.61648130632249,4.1215536919127,4.79123619744954
01-Mar-2005,1.39691538799608,2.04092514134415,3.45166419862173,4.07990508859273,3.05579907931929,1.60819577943492,2.01585288096872,3.01217928646294,3.45977356850036,1.02412199071403,1.78810039714141,3.35448172295843,4.07127712005132
01-Apr-2005,1.12418552730317,1.84151722238866,3.29926734179295,4.02513997387569,3.33647732524285,1.40635485136552,1.88863410457647,2.88483493038887,3.35675237586854,0.861540584537178,1.63715590683359,3.18219899132362,3.84071809603391
01-May-2005,1.01251365631155,1.74884439266351,3.2213789458907,3.88415379603067,3.48818209473337,1.36244342537165,1.83538357934015,2.85665017234713,3.3863741301162,0.81750017818762,1.58830195434491,3.17714631530362,3.93834748568969
01-Jun-2005,1.62241527937315,2.28400185180359,3.61770011777599,4.29888332183827,3.37644568573816,1.65891943451235,2.1504374225249,3.18293113775661,3.63726030152892,1.30398416734953,2.03122125442549,3.57994178331029,4.23435926977355
01-Jul-2005,1.54566890584418,2.20880067547103,3.61457053221346,4.32588021812988,3.11055334248558,1.69981953423316,2.12352322614176,3.18340091732302,3.65976461383058,1.24494122610564,2.02330866795304,3.54169434806309,4.14807085967198
01-Aug-2005,1.77028267926448,2.45858976285192,3.79483745521929,4.4387904315396,2.66947058208405,1.80398011894298,2.28734749039725,3.31488737151119,3.80684224492169,1.42804088060162,2.19463255311535,3.69159856330299,4.42675936418642
01-Sep-2005,0.151761404167372,0.908738625367735,2.38086134666445,3.05369420953081,2.30017272059216,0.650093441094252,1.09603607675783,2.12558546789535,2.61526928000962,-0.215077227966077,0.558979446582608,2.2560041886418,2.99563078225564
01-Oct-2005,1.34686404374251,2.09360158595916,3.58963623011531,4.2379582203704,2.37157073913722,1.59038635758746,2.06796487656836,3.07258416557471,3.49907768605366,1.0959010867628,1.80839304571247,3.41943975070074,4.10238284200809
01-Nov-2005,1.61236493048373,2.38192191701367,3.80709350000952,4.46507696573244,2.40830600855902,1.75647785288495,2.2505125873746,3.27442181531146,3.71181219262968,1.39053464968694,2.14747176413782,3.64061401371873,4.29287823944863
01-Dec-2005,1.37858287632035,2.11945267172694,3.56047494014604,4.24060101059041,2.43137915736724,1.59931247821297,2.05835201704472,3.11902593887966,3.57351523323754,1.15232722661144,1.93904594526217,3.46967233066551,4.208347493987
01-Jan-2006,1.78403288448283,2.49121715281634,3.8973261839195,4.50366668691817,2.59205656495427,1.75074664481822,2.31095262110994,3.35482640808452,3.83942516601067,1.5536819660311,2.26980873631154,3.76796858743125,4.39791564856171
01-Feb-2006,1.69188632658897,2.34821573063774,3.76932598190427,4.42890648942168,2.16828781702763,1.7127866991211,2.20245632867113,3.26616991018712,3.724491466964,1.39166070175892,2.16055516527352,3.61865585827844,4.27149567240196
01-Mar-2006,1.69009523403192,2.36888236426587,3.77534147158119,4.36458269692996,1.8694884978379,1.72438330884253,2.26700166134274,3.30248260517609,3.78112887921656,1.36475660206609,2.16482087409076,3.68786572581859,4.32951524819327
01-Apr-2006,1.34536676992043,2.00571834318954,3.41130842737663,4.10912135689214,1.49389122103355,1.48913031677909,1.9845775780453,2.98674566244089,3.48839087060392,0.985822272829174,1.76214118051401,3.25491333583242,3.94675054919178
01-May-2006,0.577140001598671,1.37073355544014,2.78463999975436,3.40744231856011,1.49536370531354,1.01710298372075,1.47907177394877,2.49993727773012,2.94787363889489,0.522715514883493,1.22384323426055,2.72689068839091,3.38286884515133
01-Jun-2006,0.670207935123795,1.43006065409371,2.90961109801305,3.55768174300826,1.69445321149638,1.12896331612536,1.58213359752658,2.60160295993598,3.0419414520291,0.477828696315814,1.24932533058363,2.8018092681337,3.46250286352482
01-Jul-2006,0.401765397616106,1.16402403956868,2.65296622657014,3.32129003938794,1.82803064019228,0.982221294906915,1.43809704438178,2.39991600142162,2.86402379993811,0.297490418309488,1.07354901512012,2.64608123244387,3.32449549536309
01-Aug-2006,0.785568558191691,1.56943175706245,2.99149297687781,3.67015046322056,1.99994616607143,1.22410030114383,1.72391468711298,2.7264775500709,3.21876843585293,0.703793411638734,1.45872892233918,2.91911593312381,3.50229173754907
01-Sep-2006,0.584871944658686,1.4202209410222,2.9327814067681,3.58784531957419,2.083484864553,1.11172554811197,1.5626294133446,2.59624131366158,3.0341886885216,0.446748798429738,1.20842643746622,2.79371212957883,3.53093933130125
01-Oct-2006,1.03123676436503,1.75133898546925,3.20128310358974,3.82813390206454,2.21215628383449,1.30956604188624,1.77702881761371,2.78073558889321,3.22736093752695,0.809704218527485,1.52915583138677,3.09746999794405,3.74787181949966
01-Nov-2006,0.97823612456072,1.76023539498578,3.20625172520258,3.81750650399091,2.151926560697,1.34109909005424,1.79139840744137,2.82161466657121,3.25076215918658,0.593294839864014,1.4659660482995,3.02117054242199,3.69943426668496
01-Dec-2006,1.44833012264858,2.15378518539021,3.56041092531843,4.22203198497553,2.19343398315348,1.60188539564414,2.05603963106422,3.0704376563254,3.49198681774113,1.17485250562179,1.97207185576738,3.42038134841854,4.0347489129154
01-Jan-2007,0.789775341929988,1.54470177525873,2.91421284572579,3.55187079774479,1.96730296181486,1.12207039348033,1.54214401740766,2.56117303863184,3.01271132501989,0.513532654023114,1.24253469112888,2.83603996516163,3.47448180818725
01-Feb-2007,1.43136695717932,2.10380436718995,3.40260763499997,4.04121419553584,1.87782121590579,1.57974475087339,2.02945961724417,2.98582170203418,3.37911558148946,1.06748321845539,1.8073450188676,3.32712963724661,3.97017026163526
01-Mar-2007,1.09053978122611,1.80900222640821,3.16529566951258,3.75919543291396,1.5047636922092,1.30265548177368,1.7842037812508,2.72195072094427,3.16631224559484,0.838811548595233,1.53151585575213,2.97451861637529,3.63735405391955
01-Apr-2007,1.35718773668029,2.04016617627249,3.35234618002202,3.97227321315696,1.17251177388641,1.43851037714424,1.93601286747103,2.932432123056,3.32379061629158,1.0780748942564,1.82901497717175,3.2771151235787,3.85892405788059
01-May-2007,1.11116330507875,1.77150683331265,3.16013839561928,3.82751663976772,0.941033220771922,1.27662545987357,1.73395520587408,2.73428361368792,3.15616751636889,0.795479118986013,1.53891684887593,3.10467021180159,3.73288243083182
01-Jun-2007,0.495931175351012,1.33920985268943,2.85124004866664,3.50367249039837,0.967543050291768,1.08495595705586,1.51762679570098,2.49861880680563,2.99059931865418,0.559028700185103,1.32524492859412,2.84523094860023,3.52020449288359
01-Jul-2007,0.416685101007938,1.29664744961831,2.85536117536837,3.51491792033172,1.11733536992185,1.07034348753662,1.55444778352178,2.49136123456676,2.90079677981362,0.54708055739444,1.3289605255801,2.84546146833863,3.49797875801083
01-Aug-2007,-1.0182428742234,0.229287832224588,2.27156418660805,2.95898951487923,1.16323029093408,0.813762314980868,1.2708772568977,2.32110777417381,2.82636981969871,0.216633400114189,1.04477124566944,2.6505364671204,3.3671367143292
01-Sep-2007,-1.68619285379873,-0.325964750014827,2.13808505244131,2.96303620406941,0.848314901186083,0.81834021634474,1.28127647954235,2.36224062181726,2.8862986148318,0.480288032392559,1.22883406989271,2.76077877582203,3.43253691167305
01-Oct-2007,-0.669540692768912,0.327842303202733,2.21744975860123,3.01771738892987,0.0633685505356061,0.788513279162845,1.26388509484522,2.29179954568002,2.746097567023,0.307899680691613,1.12938735706513,2.57606272768678,3.20886401798824
01-Nov-2007,-1.30789157167923,-0.200410689622543,1.90680755400117,2.7006068583616,-0.5102451123659,0.786024862486889,1.25325686328375,2.32886099706969,2.78376586568495,0.467590582950478,1.17298878181246,2.71382541495595,3.37199225252174
01-Dec-2007,-3.3253229770209,-2.09429636938823,0.681423825023379,1.79963505630006,-1.55783084734677,0.557301642830674,1.0343212889453,2.16329742808204,2.66793501415284,-0.0496762632736334,0.674854286129468,2.27480681941086,2.9793350727795
01-Jan-2008,-2.1627829404143,-1.13911369975821,1.12825641292293,2.0224125746318,-2.6012458065688,0.535507695971499,1.02666968938039,2.12258697849014,2.62068312794416,-0.238363327262447,0.492005577427273,2.05780688955021,2.71327493576573
01-Feb-2008,-2.51440450944731,-1.39142425081738,0.798255011343513,1.78480458603876,-3.11814862928771,0.291099931444574,0.788928402438084,1.9399111304976,2.50068723371351,-0.727166443312733,0.0782987056225871,1.63810007147513,2.32779345255118
01-Mar-2008,-3.3441702223675,-2.15033671677891,0.394764280180537,1.38259336769672,-3.15264720726062,0.362436246255942,0.886071459036799,1.98214199095224,2.50147921243704,-0.362401272960592,0.405655647575204,1.91622625346853,2.58819379192873
01-Apr-2008,-3.44793600381054,-2.05925046281539,0.617657707664469,1.61277128522996,-3.12486719567781,0.443249581158262,0.940665689940831,2.06169577475944,2.54639026854646,-0.39984040503381,0.378793911341627,1.88790473820691,2.6082846145234
01-May-2008,-1.28887497709245,-0.149032311463438,1.95091481072637,2.68072742213388,-3.14957691586397,0.74426743630033,1.20209964786737,2.26696654132045,2.78323153967751,0.20205056791932,1.05013132451346,2.56913749638106,3.27764564854772
01-Jun-2008,-1.18657101697906,-0.0269362453861391,2.05322740311999,2.8352565134131,-3.46300578583193,0.805636453907157,1.255735010378,2.28958167931785,2.79503766271835,0.358633060530716,1.08897762989384,2.57975015899675,3.29896635249087
01-Jul-2008,-1.88027979702491,-0.899953801506694,1.29528527339084,2.14425875309259,-3.78136846436582,0.596562372084676,1.10922050064126,2.14360486171141,2.63357600752814,-0.141724689251813,0.636170584685435,2.21929919633038,2.94821886197075
01-Aug-2008,-3.8639902344784,-2.60790497370506,0.110463576398972,1.02248428342352,-3.88931718833899,0.190194180102601,0.67075126796793,1.85349650050649,2.4201096351756,-1.07812494251948,-0.331271742404816,1.34187472731434,2.06928164798737
01-Sep-2008,-7.41485548109495,-6.03818451122224,-3.23173208827144,-2.07079727082061,-3.58982564654837,-0.316819327195504,0.349217945809897,1.73113985948048,2.36228864201277,-2.80458215651323,-1.97226534363179,-0.240806786852016,0.558078336490092
