dates,data_rs,data_ip,data_neo,data_gdp,data_uclaims
1980m12,-9.718789688,6.768534158,NaN,7.39099449,0.381921157
1981m1,16.87936237,-6.880599797,NaN,NaN,0.382315369
1981m2,4.588371652,-5.520160117,NaN,NaN,0.396103176
1981m3,-0.887849816,6.336398801,NaN,7.761952965,0.375392665
1981m4,-14.53537892,-5.346495869,NaN,NaN,0.3766353
1981m5,-16.91197436,7.123380708,NaN,NaN,0.381241874
1981m6,0.303882095,5.648880022,NaN,-2.975350507,0.399461235
1981m7,-3.871128175,7.849580127,NaN,NaN,0.396799808
1981m8,9.751264211,-0.162493065,NaN,NaN,0.414072201
1981m9,-16.64790519,-7.164754498,NaN,4.761643158,0.43700482
1981m10,-20.21988263,-8.121816012,NaN,NaN,0.452010566
1981m11,-7.017088399,-13.81541456,NaN,NaN,0.468481087
1981m12,1.291421472,-13.17414468,NaN,-4.382100621,0.505913031
1982m1,-16.88515728,-24.16099454,NaN,NaN,0.490608586
1982m2,27.46494801,23.55765629,NaN,NaN,0.487589867
1982m3,-10.9683248,-9.185659066,NaN,-6.262937791,0.507908403
1982m4,1.716120233,-10.59933045,NaN,NaN,0.534511018
1982m5,1.801163589,-7.746295066,NaN,NaN,0.528560176
1982m6,-33.04751331,-4.0468656,NaN,1.820636568,0.544598977
1982m7,14.91305129,-3.737713854,NaN,NaN,0.522013377
1982m8,-8.352997374,-10.56149959,NaN,NaN,0.56961109
1982m9,16.25753943,-3.682638258,NaN,-1.532111481,0.59677026
1982m10,8.954375076,-10.73982768,NaN,NaN,0.589106408
1982m11,19.71865159,-4.815809395,NaN,NaN,0.535119316
1982m12,3.883061091,-8.664727054,NaN,0.159737952,0.471494288
1983m1,-10.51076427,23.00575704,NaN,NaN,0.452594968
1983m2,2.089763472,-7.524732699,NaN,NaN,0.441771969
1983m3,30.35140905,9.699423669,NaN,5.236984631,0.434273468
1983m4,-5.227346157,14.57697464,NaN,NaN,0.447540333
1983m5,15.11253537,8.175426497,NaN,NaN,0.422397921
1983m6,24.97109722,7.160658,NaN,9.000398799,0.397080775
1983m7,2.174464286,18.02470857,NaN,NaN,0.365081069
1983m8,-21.60288153,13.31527732,NaN,NaN,0.38826171
1983m9,19.11244145,18.03094348,NaN,7.917399144,0.363986892
1983m10,13.69754337,9.936271389,NaN,NaN,0.359344567
1983m11,11.96296698,4.187311966,NaN,NaN,0.349734469
1983m12,4.014586631,6.31310118,NaN,8.259023108,0.328327116
1984m1,18.63787342,23.67115763,NaN,NaN,0.312809133
1984m2,-7.28470968,5.136169865,NaN,NaN,0.301247614
1984m3,-11.96991893,5.898491231,NaN,7.743637621,0.306796909
1984m4,17.42070346,7.515451053,NaN,NaN,0.326486764
1984m5,5.504596808,5.671554337,NaN,NaN,0.316984751
1984m6,14.72643475,4.179802941,NaN,6.852137137,0.317527259
1984m7,-23.65886434,3.765248502,NaN,NaN,0.316305759
1984m8,-10.16042281,1.142024185,NaN,NaN,0.342622403
1984m9,13.48691423,-2.126662457,NaN,3.83778666,0.347277726
1984m10,1.260527962,-1.978138416,NaN,NaN,0.367701874
1984m11,20.39968266,4.726682685,NaN,NaN,0.356485942
1984m12,-7.365865512,1.343104851,NaN,3.270048228,0.336530489
1985m1,6.768520367,-1.91796028,NaN,NaN,0.323164088
1985m2,5.993141881,4.107689384,NaN,NaN,0.341019882
1985m3,0.451307835,1.93480626,NaN,3.857685115,0.330188679
1985m4,13.17792501,-3.277593714,NaN,NaN,0.345310454
1985m5,5.256925761,1.694221725,NaN,NaN,0.340828228
1985m6,-10.07787389,0.879199677,NaN,3.506407709,0.341321272
1985m7,-0.131155903,-7.828980698,NaN,NaN,0.328000347
1985m8,14.89258518,4.961224179,NaN,NaN,0.350764587
1985m9,31.14733173,5.168082146,NaN,6.062324616,0.352443812
1985m10,-39.79316767,-4.969717939,NaN,NaN,0.349347798
1985m11,0.260935746,4.047566065,NaN,NaN,0.338743703
1985m12,9.453173534,12.49483759,NaN,2.962172902,0.331101638
1986m1,7.172674941,5.553184989,NaN,NaN,0.314315833
1986m2,-9.061682658,-7.8988563,NaN,NaN,0.316130799
1986m3,-1.794611097,-8.299203656,NaN,3.716694675,0.325200478
1986m4,12.01366404,0.379834471,NaN,NaN,0.328812779
1986m5,14.00323816,2.59408696,NaN,NaN,0.328432374
1986m6,-3.127224063,-3.916599975,NaN,1.797491023,0.313759696
1986m7,2.978997488,6.701537826,NaN,NaN,0.306444649
1986m8,11.11894869,-1.604197783,NaN,NaN,0.344815912
1986m9,64.21570787,2.431877217,NaN,3.809927337,0.334051269
1986m10,-53.55231312,5.599265417,NaN,NaN,0.323374059
1986m11,-7.761008302,5.451968053,NaN,NaN,0.306151693
1986m12,48.69793596,10.06101788,NaN,2.142554511,0.302037754
1987m1,-86.65290706,-3.682650602,NaN,NaN,0.29079894
1987m2,54.09845595,15.60204161,NaN,NaN,0.292767079
1987m3,3.855507805,1.56161447,NaN,2.969635028,0.279408066
1987m4,4.44831151,7.545439682,NaN,NaN,0.281767447
1987m5,-3.409239066,7.723064413,NaN,NaN,0.275814946
1987m6,11.17724882,5.5673962,NaN,4.292477338,0.269340711
1987m7,4.728118473,8.288950021,NaN,NaN,0.266259112
1987m8,16.96867693,9.928523242,NaN,NaN,0.2706162
1987m9,-20.14920947,3.076858679,NaN,3.455479658,0.258101341
1987m10,-7.235792553,17.37848959,NaN,NaN,0.248944062
1987m11,0.347989256,6.281040124,NaN,NaN,0.254479841
1987m12,12.79504532,5.912253039,NaN,6.809911335,0.264021072
1988m1,-0.081002405,0.538844535,NaN,NaN,0.277426448
1988m2,6.019758603,5.202161582,NaN,NaN,0.263090561
1988m3,17.3837807,2.398873386,NaN,2.06118547,0.252661004
1988m4,-12.62775508,6.775014668,NaN,NaN,0.257482413
1988m5,7.582615948,-1.405047322,NaN,NaN,0.25914546
1988m6,0.638032747,3.052354262,NaN,5.221243679,0.253760095
1988m7,-1.695521281,0.51432001,NaN,NaN,0.264332388
1988m8,1.805149003,4.998360114,NaN,NaN,0.257727738
1988m9,-8.982736753,-3.291255694,NaN,2.336875543,0.249672024
1988m10,21.02051742,5.941620471,NaN,NaN,0.238449831
