dates,monthly_GDP,monthly_GDPDEF,CPRINDEX,TRARR,BOGNONBR,FEDFUNDS,IP,CPIAUCSL
1976-01-01,5591.57740969856,32.3997519529265,122.820561904762,17.616,17.537,4.87,44.4309,55.8
1976-02-01,5632.38812772057,32.468624691451,125.489810526316,17.806,17.725,4.77,44.8644,55.9
1976-03-01,5631.53446258099,32.5506233556227,127.410613043478,17.875,17.821,4.84,44.916,56
1976-04-01,5654.56863815061,32.6457520076276,130.728019047619,17.719,17.675,4.82,45.1733,56.1
1976-05-01,5668.79614255837,32.8123996618856,137.60354,17.94,17.826,5.29,45.3729,56.4
1976-06-01,5659.63521929114,32.950848330487,145.2255,17.946,17.82,5.48,45.3841,56.7
1976-07-01,5676.41682606901,33.0570596962383,147.214171428571,17.846,17.714,5.31,45.6491,57
1976-08-01,5697.47468744248,33.2103171627304,138.131945454545,18.053,17.953,5.29,45.9698,57.3
1976-09-01,5695.50848648859,33.4106231410315,138.682333333333,18.009,17.948,5.25,46.1015,57.6
1976-10-01,5678.66044977501,33.653945970123,141.273314285714,18.077,17.983,5.02,46.1172,57.9
1976-11-01,5738.58528376953,33.8106347114094,144.984515,18.34,18.268,4.95,46.7939,58.1
1976-12-01,5780.25426645555,33.9804193184677,147.928719047619,18.388,18.335,4.65,47.2798,58.4
1977-01-01,5742.09594609292,34.1336385461857,155.329561904762,18.421,18.353,4.61,47.023,58.7
1977-02-01,5805.22164317635,34.401619027119,162.970289473684,18.299,18.227,4.68,47.7335,59.3
1977-03-01,5850.28241073084,34.5417424266953,177.607708695652,18.405,18.301,4.69,48.3415,59.6
1977-04-01,5869.67868566194,34.7372984424715,175.88932,18.479,18.406,4.73,48.7789,60
1977-05-01,5908.57801371881,34.8265677627237,172.281323809524,18.585,18.379,5.35,49.2046,60.2
1977-06-01,5960.74330061946,34.9591337948047,164.840268181818,18.471,18.208,5.39,49.5627,60.5
1977-07-01,6002.26838634161,35.0810973634972,154.947852631579,18.748,18.425,5.42,49.6389,60.8
1977-08-01,6016.16869538398,35.2616900794993,146.900913043478,18.919,17.858,5.9,49.6517,61.1
