Ticker,Name,Series Type,Currency,Country,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
_DJSD,Dow Jones Spot Average,Commodity Indices,United States Dollar,United States,Index Number,Units,Stock,none,Daily From Jan 1950 To Jan 2009<BR>,"The DJ Futures Price Index was introduced on October 3, 1933 and remained the same until July 5, 1950 when the index was broadened and a spot index was introduced.  The new index consisted of wheat, corn, oats, rye, wool tops, cotton, cottonseed oil, coffee, sugar, cocoa, rubber and hides. Additional revisions came in April of 1974, 1980 and 1982. The index is computed as a equal-weighted average of relative price indexes with a base of December 31, 1974 = 100, the day gold trading resumed in the United States. Prior to 1982, the base was 1924/1926= 100. The index includes grain and oilseed (corn, soybeans, and wheat), food and fiber (coffee, cotton, #2, sugar #11 world), Metals (copper, gold, silver), livestock and meat (live cattle and hogs), and wood (lumber).   Prior to January 1982, the Dow Jones Spot Price Index was based entirely on agricultural commodities, but it was revised in 1982 to include wood, livestock and meats, and metals.  The old Spot Index data can be converted to the old base by multiplying the data by 2.867.",
Date,Ticker,Open,High,Low,Close,Volume,Openint,Period_Average
04/30/1953,_DJSD,68.6044,69.5389,68.1595,69.0533,0,,68.9133476190476
05/31/1953,_DJSD,69.2002,69.7429,67.882,67.882,0,,69.0110904761905
06/30/1953,_DJSD,67.6413,68.233,66.5108,67.1026,0,,67.5169818181818
07/31/1953,_DJSD,67.172,69.041,67.172,69.041,0,,68.0333826086956
08/31/1953,_DJSD,68.8166,69.7062,68.082,69.0614,0,,69.0186761904762
09/30/1953,_DJSD,69.0778,69.8654,68.8574,69.2043,0,,69.3476857142857
10/31/1953,_DJSD,68.7717,68.8247,67.5719,68.8043,0,,68.2934238095238
11/30/1953,_DJSD,68.5187,69.6001,68.5187,69.3634,0,,68.9909055555555
12/31/1953,_DJSD,69.8042,71.5304,69.5634,71.5304,0,,70.2691954545455
01/31/1954,_DJSD,71.6814,73.3546,71.6814,71.9915,0,,72.30412
02/28/1954,_DJSD,71.7752,75.5052,71.7752,75.5052,0,,73.5186888888889
03/31/1954,_DJSD,75.3787,77.7456,74.7339,77.7456,0,,76.0804260869565
04/30/1954,_DJSD,78.0599,78.3088,76.9743,78.3088,0,,77.6881047619048
05/31/1954,_DJSD,77.8027,79.4759,76.9866,77.8925,0,,77.98374
06/30/1954,_DJSD,77.3783,78.5496,76.758,78.5496,0,,77.6026
07/31/1954,_DJSD,78.6842,79.6922,78.6842,79.529,0,,79.186180952381
08/31/1954,_DJSD,79.3698,79.7371,74.4482,74.4482,0,,78.07265
09/30/1954,_DJSD,75.191,75.3379,72.2813,72.6894,0,,74.1149666666667
10/31/1954,_DJSD,72.8281,73.4403,71.412,73.4403,0,,72.5857904761905
11/30/1954,_DJSD,73.6973,74.6604,73.1709,73.4321,0,,73.82957
12/31/1954,_DJSD,73.0036,73.3423,72.1507,73.2729,0,,72.8412478260869
01/31/1955,_DJSD,73.2729,74.5911,72.7669,74.1993,0,,73.4684285714286
02/28/1955,_DJSD,73.832,73.832,70.1225,70.1225,0,,71.9721947368421
03/31/1955,_DJSD,69.8898,69.8898,68.7309,68.8859,0,,69.2604913043478
04/30/1955,_DJSD,68.7513,69.5471,68.2616,68.5227,0,,68.83228
05/31/1955,_DJSD,68.3024,69.1757,68.3024,68.5268,0,,68.7279523809524
06/30/1955,_DJSD,68.0738,69.5266,67.5392,67.629,0,,68.3032954545455
07/31/1955,_DJSD,67.2903,67.2903,66.1558,66.3394,0,,66.67653
08/31/1955,_DJSD,66.7843,67.225,64.45,65.2213,0,,65.4657826086957
09/30/1955,_DJSD,65.6171,66.3313,65.6171,65.6498,0,,66.0040476190476
10/31/1955,_DJSD,64.8907,65.9722,64.8907,65.107,0,,65.4653619047619
11/30/1955,_DJSD,65.005,65.8946,64.5887,65.8212,0,,65.1872761904762
12/31/1955,_DJSD,66.2089,66.5027,65.9518,66.2089,0,,66.1812666666667
01/31/1956,_DJSD,65.9477,66.062,64.4663,64.7193,0,,65.0936095238095
02/29/1956,_DJSD,64.6908,65.6987,64.6908,65.5151,0,,65.35718
03/31/1956,_DJSD,65.3355,65.9722,65.2784,65.711,0,,65.6396761904762
04/30/1956,_DJSD,65.7681,67.5229,65.7518,66.8292,0,,66.7603666666667
05/31/1956,_DJSD,67.1067,67.1067,64.8662,64.9397,0,,66.3342681818182
06/30/1956,_DJSD,64.9356,66.7516,64.9356,66.3272,0,,66.0701047619048
07/31/1956,_DJSD,66.2334,67.2536,66.1966,66.7271,0,,66.704980952381
08/31/1956,_DJSD,66.7679,67.225,66.4456,67.1964,0,,66.8327130434783
09/30/1956,_DJSD,66.9434,67.425,66.9434,67.2087,0,,67.1440315789473
10/31/1956,_DJSD,66.7271,68.3677,66.1232,68.3677,0,,66.8156826086956
11/30/1956,_DJSD,68.1473,69.1879,67.5515,69.1879,0,,68.156275
12/31/1956,_DJSD,68.8819,68.8819,67.8004,67.8698,0,,68.0293842105263
01/31/1957,_DJSD,68.0249,68.1269,66.7353,66.7353,0,,67.5527909090909
02/28/1957,_DJSD,66.5231,66.5231,65.711,66.0538,0,,66.0385368421053
03/31/1957,_DJSD,66.3966,66.5272,65.813,66.3272,0,,66.1878714285714
04/30/1957,_DJSD,66.0987,66.9883,65.964,65.964,0,,66.4682904761905
05/31/1957,_DJSD,65.662,67.0046,65.662,66.9965,0,,66.4349772727273
06/30/1957,_DJSD,67.1189,68.0861,67.1189,67.6331,0,,67.44395
07/31/1957,_DJSD,67.4943,67.6617,66.1762,66.2986,0,,66.9276636363636
08/31/1957,_DJSD,66.1395,66.4211,65.4253,65.4661,0,,66.0113136363636
09/30/1957,_DJSD,65.8661,66.47,65.1029,65.1029,0,,65.876255
10/31/1957,_DJSD,65.1764,66.3394,65.1601,66.3394,0,,65.7936739130435
11/30/1957,_DJSD,66.2742,68.437,66.2742,67.7147,0,,67.42681
12/31/1957,_DJSD,67.4291,68.7186,67.1352,67.1842,0,,67.8676571428571
01/31/1958,_DJSD,67.2699,68.1187,67.2699,68.1187,0,,67.7026590909091
02/28/1958,_DJSD,67.7229,68.6003,67.4413,67.576,0,,68.01243
03/31/1958,_DJSD,67.5107,68.033,67.4903,67.9963,0,,67.7872142857143
04/30/1958,_DJSD,68.4493,68.5187,67.7106,67.829,0,,68.1415590909091
05/31/1958,_DJSD,67.8861,69.6124,67.8004,69.0941,0,,68.7821761904762
06/30/1958,_DJSD,68.3881,68.3881,65.862,65.862,0,,67.123380952381
07/31/1958,_DJSD,65.5233,67.1311,65.5233,66.1803,0,,66.2418727272727
08/31/1958,_DJSD,66.1272,66.3027,65.0662,65.5886,0,,65.6569571428571
09/30/1958,_DJSD,65.307,65.307,63.5481,63.5481,0,,64.5836809523809
10/31/1958,_DJSD,63.6909,64.348,63.6256,64.348,0,,63.8788304347826
11/30/1958,_DJSD,64.5847,66.0252,64.5847,65.1805,0,,65.4697722222222
12/31/1958,_DJSD,65.1478,65.1478,63.9399,64.197,0,,64.5786523809524
01/31/1959,_DJSD,63.9358,63.9766,62.8911,62.8911,0,,63.3477523809524
02/28/1959,_DJSD,62.7605,63.6338,62.7605,63.6338,0,,63.0837368421053
03/31/1959,_DJSD,63.393,65.0172,63.393,65.005,0,,64.0401333333333
04/30/1959,_DJSD,65.0172,66.2578,65.0172,65.8579,0,,65.6941045454545
05/31/1959,_DJSD,66.0783,66.4578,65.4212,65.4212,0,,66.0586476190476
06/30/1959,_DJSD,65.4825,66.062,64.5887,64.5887,0,,65.4448136363636
07/31/1959,_DJSD,64.7316,65.209,64.5357,65.209,0,,64.8003863636364
08/31/1959,_DJSD,65.2172,65.5029,64.7601,65.3764,0,,65.1488
09/30/1959,_DJSD,65.5273,65.9722,63.393,63.9317,0,,64.5770809523809
10/31/1959,_DJSD,63.8338,65.1478,63.6542,65.0417,0,,64.1190545454546
11/30/1959,_DJSD,65.005,65.005,62.6789,62.7523,0,,63.6578473684211
12/31/1959,_DJSD,63.0298,63.0298,61.7321,62.1157,0,,62.3277272727273
01/31/1960,_DJSD,62.1647,62.4952,61.879,61.879,0,,62.280565
02/29/1960,_DJSD,61.83,61.9892,61.4219,61.4627,0,,61.713725
03/31/1960,_DJSD,61.4832,62.7033,61.2383,62.6666,0,,61.8649782608696
04/30/1960,_DJSD,62.6829,63.1604,62.6421,63.0257,0,,62.89248
05/31/1960,_DJSD,63.0094,63.3318,62.5728,62.5728,0,,62.9388761904762
06/30/1960,_DJSD,62.5279,63.2053,61.9239,61.9688,0,,62.4705454545455
07/31/1960,_DJSD,61.9892,61.9892,60.3078,60.316,0,,61.25034
08/31/1960,_DJSD,60.3813,60.3813,59.4835,59.761,0,,59.8873391304348
09/30/1960,_DJSD,59.8753,60.1609,59.6916,59.8508,0,,59.9339523809524
10/31/1960,_DJSD,59.7732,59.7732,58.8183,58.8346,0,,59.4611571428571
11/30/1960,_DJSD,58.9611,58.9856,57.8389,58.0797,0,,58.466535
12/31/1960,_DJSD,58.1531,58.198,57.5573,57.8675,0,,57.8342333333333
01/31/1961,_DJSD,57.8471,58.349,57.8307,58.2633,0,,58.0705333333333
02/28/1961,_DJSD,58.349,58.5204,57.6757,58.4714,0,,58.1885631578947
03/31/1961,_DJSD,58.2266,58.953,58.0797,58.1858,0,,58.5686363636364
04/30/1961,_DJSD,58.3653,60.0712,58.3653,59.9528,0,,59.22416
05/31/1961,_DJSD,60.0589,60.2874,59.6957,59.7773,0,,59.9975047619048
06/30/1961,_DJSD,59.8671,59.961,59.2958,59.961,0,,59.6090863636364
07/31/1961,_DJSD,60.1324,60.5568,59.9283,59.9283,0,,60.268265
08/31/1961,_DJSD,59.7732,60.2874,59.7488,59.9651,0,,60.0736391304348
09/30/1961,_DJSD,60.0467,60.2589,59.4386,59.5121,0,,59.984235
10/31/1961,_DJSD,59.3856,60.9567,59.0877,60.4833,0,,60.0004772727273
11/30/1961,_DJSD,60.4874,61.7566,60.4384,61.7566,0,,60.96814
12/31/1961,_DJSD,61.7933,61.8586,61.0751,61.1526,0,,61.51805
01/31/1962,_DJSD,61.3526,61.3852,60.5241,60.6792,0,,60.9283272727273
02/28/1962,_DJSD,60.6262,60.6262,59.6304,60.063,0,,60.0962842105263
03/31/1962,_DJSD,60.2181,61.0016,60.2181,61.0016,0,,60.6588045454546
04/30/1962,_DJSD,60.8261,61.2056,60.4262,60.7445,0,,60.758795
05/31/1962,_DJSD,60.7527,61.4383,60.7527,60.8629,0,,61.1589136363636
06/30/1962,_DJSD,60.8914,60.8914,60.116,60.2752,0,,60.5635761904762
07/31/1962,_DJSD,60.2426,60.4507,59.4794,59.6427,0,,59.9296904761905
08/31/1962,_DJSD,59.6508,59.6671,59.2142,59.255,0,,59.3985086956522
09/30/1962,_DJSD,59.3733,59.3733,58.8714,59.0877,0,,59.1097947368421
10/31/1962,_DJSD,59.308,60.3976,59.2346,59.7651,0,,59.5729304347826
11/30/1962,_DJSD,59.7896,60.267,59.5855,60.267,0,,59.83547
12/31/1962,_DJSD,60.4425,61.0506,60.267,60.9894,0,,60.7090684210526
01/31/1963,_DJSD,60.8955,62.3401,60.7363,61.8096,0,,61.462
02/28/1963,_DJSD,61.5607,62.3769,61.5607,62.2667,0,,61.9462368421053
03/31/1963,_DJSD,62.2953,62.9033,61.9239,62.7197,0,,62.3288761904762
04/30/1963,_DJSD,62.8258,65.2458,62.8258,65.2458,0,,63.94333
05/31/1963,_DJSD,65.9314,68.8247,65.2866,65.9844,0,,66.7970772727273
06/30/1963,_DJSD,64.5194,64.5194,62.0545,62.687,0,,62.92861
07/31/1963,_DJSD,62.8503,63.1359,59.1121,59.2468,0,,61.4829681818182
08/31/1963,_DJSD,59.2835,59.6019,58.5,59.2713,0,,58.9900772727273
09/30/1963,_DJSD,59.3856,62.3116,59.3856,62.3116,0,,60.69554
10/31/1963,_DJSD,62.6829,65.6743,62.2912,65.6743,0,,64.1689260869565
11/30/1963,_DJSD,65.7804,65.7804,62.8707,63.9235,0,,64.3985166666667
12/31/1963,_DJSD,63.9439,65.2254,63.2624,65.2254,0,,63.8975047619048
01/31/1964,_DJSD,65.205,66.3394,63.4991,63.4991,0,,65.5141681818182
02/29/1964,_DJSD,63.3767,63.5807,62.989,63.2951,0,,63.3605842105263
03/31/1964,_DJSD,62.838,63.5807,62.5156,63.5807,0,,62.7874857142857
04/30/1964,_DJSD,64.148,64.148,62.9727,62.9809,0,,63.3099318181818
05/31/1964,_DJSD,63.0462,63.0462,60.1324,60.1324,0,,61.844315
06/30/1964,_DJSD,60.1936,60.6262,57.9613,57.9736,0,,58.9850727272727
07/31/1964,_DJSD,57.9287,58.1205,56.9492,56.9492,0,,57.4397
08/31/1964,_DJSD,57.039,57.1655,56.6677,57.0676,0,,56.9492571428571
09/30/1964,_DJSD,57.039,57.6961,57.039,57.6104,0,,57.3425761904762
10/31/1964,_DJSD,57.6879,57.9123,57.443,57.5614,0,,57.6556181818182
11/30/1964,_DJSD,57.5083,58.5326,57.1166,58.5,0,,57.6125052631579
12/31/1964,_DJSD,58.3653,58.4878,58.0144,58.3531,0,,58.2738818181818
01/31/1965,_DJSD,58.3,59.002,58.1694,58.8102,0,,58.515095
02/28/1965,_DJSD,58.4633,58.5816,57.0268,57.0268,0,,58.0622736842105
03/31/1965,_DJSD,57.137,57.137,56.5493,56.8023,0,,56.8250434782609
04/30/1965,_DJSD,56.7942,57.2635,56.7819,57.039,0,,56.9576
05/31/1965,_DJSD,57.0594,57.1859,56.3085,56.4473,0,,56.81948
06/30/1965,_DJSD,56.3983,56.4065,55.2393,55.6474,0,,55.8060272727273
07/31/1965,_DJSD,55.5087,55.5903,54.77,55.4597,0,,55.2000904761905
08/31/1965,_DJSD,55.7005,56.382,55.7005,56.1167,0,,56.0768636363636
09/30/1965,_DJSD,56.4269,56.5167,55.9086,55.9086,0,,56.292619047619
10/31/1965,_DJSD,55.8474,55.8719,55.4393,55.4393,0,,55.6884333333333
11/30/1965,_DJSD,55.374,56.4147,55.374,56.4147,0,,55.8959904761905
12/31/1965,_DJSD,56.5085,58.1409,56.5085,58.1409,0,,57.3927095238095
01/31/1966,_DJSD,58.3572,58.9979,58.3572,58.5041,0,,58.6764523809524
02/28/1966,_DJSD,58.6469,59.4223,58.5816,59.0591,0,,58.9755263157895
03/31/1966,_DJSD,59.0999,59.3488,58.6265,58.7653,0,,58.9302782608696
04/30/1966,_DJSD,58.8224,59.5406,58.8224,59.2468,0,,59.293735
05/31/1966,_DJSD,59.2346,60.0671,58.9611,60.0671,0,,59.6028190476191
06/30/1966,_DJSD,60.1609,61.7239,60.014,61.3526,0,,60.7222409090909
07/31/1966,_DJSD,61.1444,62.8095,61.1444,62.1892,0,,62.06673
08/31/1966,_DJSD,61.9647,61.9647,58.6102,58.6102,0,,60.8295043478261
09/30/1966,_DJSD,58.4388,58.7653,56.1861,56.6228,0,,57.5670238095238
10/31/1966,_DJSD,56.3371,56.3371,55.2312,55.3373,0,,55.8112571428571
11/30/1966,_DJSD,55.2393,56.7044,55.2393,56.7044,0,,55.917595
12/31/1966,_DJSD,57.1859,57.4349,56.8513,56.9044,0,,57.1045142857143
01/31/1967,_DJSD,56.7411,57.0105,56.1086,56.4351,0,,56.6643714285714
02/28/1967,_DJSD,56.5371,57.3288,56.4351,56.9166,0,,56.7295368421053
03/31/1967,_DJSD,56.9533,57.439,56.4228,56.4636,0,,56.8290363636364
04/30/1967,_DJSD,56.4881,56.835,55.5168,55.6678,0,,56.0037
05/31/1967,_DJSD,55.9657,56.9248,55.9086,56.9248,0,,56.2970409090909
06/30/1967,_DJSD,56.7901,57.2716,55.5985,55.5985,0,,56.2362090909091
07/31/1967,_DJSD,55.4516,55.5209,54.5048,54.5048,0,,54.96328
08/31/1967,_DJSD,54.6109,54.6109,53.5702,54.215,0,,53.9540304347826
09/30/1967,_DJSD,54.2232,55.5862,54.2232,55.5291,0,,55.09223
10/31/1967,_DJSD,55.3536,56.1576,55.3536,56.1576,0,,55.6951181818182
11/30/1967,_DJSD,56.1902,57.3859,56.1902,57.2757,0,,56.7986380952381
12/31/1967,_DJSD,57.5491,58.851,57.5491,58.3082,0,,58.32962
01/31/1968,_DJSD,58.2633,58.5571,57.9572,58.4306,0,,58.4052136363636
02/29/1968,_DJSD,58.4592,58.4592,57.3614,57.5165,0,,57.8625105263158
03/31/1968,_DJSD,57.643,58.149,57.59,57.9328,0,,57.8010095238095
04/30/1968,_DJSD,57.7042,57.7042,56.7697,56.986,0,,57.18799
